video,video_n_tracks,video_mean_track_frames,video_median_track_frames,video_p90_track_frames,video_mean_duration_s,video_median_duration_s,video_mean_speed_px_s,video_median_speed_px_s,video_p90_speed_px_s,video_speed_std_px_s,video_mean_displacement_px,video_median_displacement_px,video_mean_path_length_px,video_mean_straightness,video_median_straightness,video_mean_confidence,video_mean_area_norm,video_long_track_ratio_x,video_fast_track_ratio_x,video_low_movement_track_ratio_x,video_progressive_like_ratio_x,video_long_track_ratio_y,video_fast_track_ratio_y,video_low_movement_track_ratio_y,video_progressive_like_ratio_y
1.0,1669,103.09466746554823,23.0,273.0,2.5075014979029357,0.62,72.07261849997424,69.11264124029228,125.79086860457163,42.072263918990004,40.88747765116616,14.80992182583654,95.18346827640713,0.5497303393064391,0.5669626148269465,0.6113626582330999,0.0010791054104379249,0.335530257639305,0.1737567405632115,0.2678250449370881,0.12162971839424805,0.335530257639305,0.1737567405632115,0.2678250449370881,0.12162971839424805
10.0,2449,33.99428338097182,8.0,74.0,1.0964066966108614,0.26,47.963815915716715,40.44066145614703,84.18431917555958,28.776584655275972,12.811202668396547,5.417983287047611,28.075278210000285,0.6523403517248562,0.7139554795628638,0.4389212666628891,0.0015479450853859795,0.1376071866067783,0.030624744793793384,0.44507962433646386,0.028991425071457737,0.1376071866067783,0.030624744793793384,0.44507962433646386,0.028991425071457737
11.0,548,308.8211678832117,55.0,1187.5,6.786240875912409,1.86,56.40618123307596,20.78044705824678,149.0734176027942,59.03323488657474,32.61861359136658,10.28328939206392,122.08922627433732,0.40327960652214834,0.3567331699470117,0.5644507334965783,0.0011392867341091994,0.5127737226277372,0.17153284671532848,0.5401459854014599,0.1386861313868613,0.5127737226277372,0.17153284671532848,0.5401459854014599,0.1386861313868613
12.0,2702,54.4300518134715,13.0,110.0,1.2315840118430792,0.32,152.23962518181756,156.69492114553577,213.81110053614975,55.03705005859411,44.84305800635118,23.702809463511784,123.58973003521822,0.6105525383546906,0.6484455968100733,0.5739478730750185,0.0017931304949649824,0.21650629163582533,0.7627683197631384,0.04774241302738712,0.5214655810510733,0.21650629163582533,0.7627683197631384,0.04774241302738712,0.5214655810510733
13.0,460,369.1695652173913,138.0,1472.8000000000002,7.728695652173914,3.04,54.005838085390174,38.210061148253004,110.19494055208195,41.190361478891035,70.14670908754039,23.026624211512782,220.1669802130742,0.43849584412201276,0.38632308525816095,0.605753018579687,0.0014222118844649924,0.6630434782608695,0.1,0.4717391304347826,0.06739130434782609,0.6630434782608695,0.1,0.4717391304347826,0.06739130434782609
14.0,111,238.75675675675674,64.0,764.0,5.212072072072072,1.6,81.41405593102684,82.3262763277651,160.53960484589064,65.12301633507965,37.939143557280026,16.699217788075252,301.1322740550821,0.4112249544706164,0.3544094734577319,0.5528037091226167,0.0017564423309907693,0.5405405405405406,0.2972972972972973,0.34234234234234234,0.15315315315315314,0.5405405405405406,0.2972972972972973,0.34234234234234234,0.15315315315315314
15.0,337,270.6646884272997,106.0,769.0,5.972344213649852,2.98,49.558111129433776,29.28622863017802,119.7746545935464,45.54628209615564,45.938091581324954,4.778976276913987,155.4780420844002,0.3538290922856682,0.2515151239335775,0.5715891913811116,0.0012073862358207743,0.5727002967359051,0.142433234421365,0.5281899109792285,0.0830860534124629,0.5727002967359051,0.142433234421365,0.5281899109792285,0.0830860534124629
16.0,16167,10.27543761984289,5.0,22.0,0.7203847343353744,0.28,69.29946538220143,59.174431197011586,124.8545193282805,41.77470620142188,21.342252172049253,7.1914742500814555,28.548818989753265,0.7772306322096811,0.8830446612044767,0.6706077774890212,0.0008216258390622099,0.028391167192429023,0.14152285519886187,0.2599121667594483,0.13824457227686027,0.028391167192429023,0.14152285519886187,0.2599121667594483,0.13824457227686027
17.0,1896,88.77215189873418,27.0,206.0,2.2444620253164556,0.76,84.52452155106815,82.4252809317703,131.1136720936092,39.90489474057629,69.8279036621632,25.89869800281475,118.34201108927904,0.6787017276615971,0.7358295328810986,0.6602229828626337,0.001048938520032211,0.3771097046413502,0.24050632911392406,0.1529535864978903,0.22362869198312235,0.3771097046413502,0.24050632911392406,0.1529535864978903,0.22362869198312235
18.0,3353,50.28004771846108,10.0,90.80000000000018,1.3099612287503728,0.28,119.39610042612163,119.34633060130032,183.0889971629661,53.806066665211105,34.30125612126526,16.661367583054904,72.94518227204432,0.6612953007651458,0.7303743451898005,0.60667127329858,0.0012028773565210546,0.16373396957948105,0.55741127348643,0.10080524903071876,0.46913212048911423,0.16373396957948105,0.55741127348643,0.10080524903071876,0.46913212048911423
