id,video,video_n_tracks,video_mean_track_frames,video_median_track_frames,video_p90_track_frames,video_mean_duration_s,video_median_duration_s,video_mean_speed_px_s,video_median_speed_px_s,video_p90_speed_px_s,video_speed_std_px_s,video_mean_displacement_px,video_median_displacement_px,video_mean_path_length_px,video_mean_straightness,video_median_straightness,video_mean_confidence,video_mean_area_norm,video_long_track_ratio_x,video_fast_track_ratio_x,video_low_movement_track_ratio_x,video_progressive_like_ratio_x,video_long_track_ratio_y,video_fast_track_ratio_y,video_low_movement_track_ratio_y,video_progressive_like_ratio_y,video_key
1,1.0,1669.0,103.09466746554824,23.0,273.0,2.507501497902936,0.62,72.07261849997424,69.11264124029228,125.79086860457164,42.07226391899,40.88747765116616,14.80992182583654,95.18346827640713,0.5497303393064391,0.5669626148269465,0.6113626582330999,0.0010791054104379,0.335530257639305,0.1737567405632115,0.2678250449370881,0.121629718394248,0.335530257639305,0.1737567405632115,0.2678250449370881,0.121629718394248,1.0
2,2.0,487.0,292.38398357289526,45.0,1124.0,6.402833675564682,1.38,53.08724319967167,36.63072732517647,116.46205594638566,42.956828565734384,50.65501500937896,8.494341640632733,146.46469605652717,0.4430117199556924,0.4342474426278399,0.5163692417319706,0.0013938156388334,0.4907597535934291,0.1293634496919918,0.4763860369609856,0.0882956878850102,0.4907597535934291,0.1293634496919918,0.4763860369609856,0.0882956878850102,2.0
3,3.0,958.0,179.46346555323592,33.0,683.9000000000002,3.948559498956159,0.91,60.896324750162776,56.3764557034679,116.33349481801451,42.74389729042798,31.947544853227967,12.202882909406569,101.02924924615242,0.4871109951620944,0.5000363015145554,0.5470135477110762,0.0011533024425171,0.4488517745302714,0.1252609603340292,0.3789144050104384,0.104384133611691,0.4488517745302714,0.1252609603340292,0.3789144050104384,0.104384133611691,3.0
4,4.0,1110.0,157.42162162162165,32.5,523.2,3.734144144144144,1.03,59.09133163571438,39.20305001842343,128.48303291619183,47.77313824502633,40.121884536567606,15.661724667081124,95.112825123105,0.5343030660551091,0.5438770509136904,0.6057174250423273,0.001129723220429,0.4396396396396396,0.1774774774774774,0.4702702702702703,0.1459459459459459,0.4396396396396396,0.1774774774774774,0.4702702702702703,0.1459459459459459,4.0
5,5.0,4105.0,41.827283800243606,7.0,65.0,1.1070158343483556,0.2,138.2529638925976,138.18010764309545,221.9315320849349,67.45134548637034,27.520646633048404,14.808094516130575,57.458466084427904,0.6733519054983564,0.7393552127638997,0.6007738394383515,0.0014158921401508,0.1215590742996346,0.6358099878197321,0.1088915956151035,0.535931790499391,0.1215590742996346,0.6358099878197321,0.1088915956151035,0.535931790499391,5.0
6,6.0,3761.0,43.06806700345653,7.0,117.0,1.3426269609146504,0.28,48.68271680821762,34.760741931054255,100.57589025159004,36.09404074626011,12.716212170200494,5.492692897585627,28.858921631175395,0.6372314612023542,0.6994159109092081,0.593941149690768,0.0008853606454129,0.1818665248604094,0.0600904014889657,0.4549321988832757,0.0576974208986971,0.1818665248604094,0.0600904014889657,0.4549321988832757,0.0576974208986971,6.0
7,7.0,266.0,369.2368421052632,83.0,1035.0,8.738796992481204,3.75,24.632087401715783,9.110857106922008,23.322492974752,69.99718287280547,11.251832976922897,4.702724968958988,90.32106889160984,0.2620163611152187,0.1552043758885626,0.4915370931516828,0.0014630968422669,0.6127819548872181,0.0300751879699248,0.9172932330827068,0.0300751879699248,0.6127819548872181,0.0300751879699248,0.9172932330827068,0.0300751879699248,7.0
8,8.0,3766.0,41.37891662241105,9.0,100.5,1.075246946362188,0.26,88.12234167311944,79.65837539148609,145.10518805145972,43.60478929419232,25.60797076394027,12.47840947689154,52.453311064752725,0.671929065576443,0.7088043535868396,0.5660924372686978,0.0012570192553522,0.1702071163037705,0.2559745087626128,0.1330323951141795,0.2193308550185873,0.1702071163037705,0.2559745087626128,0.1330323951141795,0.2193308550185873,8.0
9,9.0,4513.0,32.16153334810547,6.0,83.0,1.1104232218036785,0.28,37.79113238363755,24.17248493188664,76.56516514336583,28.47640738158344,6.579167101634709,3.1708334317572078,21.414160772789497,0.5710557004345107,0.5678119256921167,0.4380179825862199,0.0010505213955478,0.1544427210281409,0.0254819410591624,0.6009306448038998,0.0250387768668291,0.1544427210281409,0.0254819410591624,0.6009306448038998,0.0250387768668291,9.0
10,10.0,2449.0,33.99428338097182,8.0,74.0,1.0964066966108614,0.26,47.96381591571672,40.44066145614703,84.18431917555958,28.77658465527597,12.811202668396549,5.417983287047611,28.075278210000285,0.6523403517248562,0.7139554795628638,0.4389212666628891,0.0015479450853859,0.1376071866067783,0.0306247447937933,0.4450796243364638,0.0289914250714577,0.1376071866067783,0.0306247447937933,0.4450796243364638,0.0289914250714577,10.0
